               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058604,            0.023699,            0.067769,             0.10286,             0.45197,            0.027097,           0.0084047,            0.034086,           0.0095876,            0.053987,           0.0033328,           0.0033328,            0.070005
                   1,            0.038386,            0.019026,            0.064571,             0.27304,             0.52368,             0.19622,             0.11839,            0.019773,            0.005607,            0.047245,            0.006666,            0.006666,            0.040004
                   2,            0.031066,             0.01549,            0.057154,             0.45242,             0.54434,             0.48091,             0.33014,            0.015932,           0.0044362,            0.037476,           0.0099985,           0.0099985,            0.010004
                   3,            0.027957,            0.013631,            0.048649,             0.71379,             0.62271,             0.75037,             0.55485,            0.014518,           0.0039101,            0.028408,           0.0099978,           0.0099978,           0.0099978
                   4,            0.026073,            0.012671,            0.040794,             0.76987,             0.79413,             0.86028,             0.65514,            0.013738,           0.0035775,            0.019784,           0.0099978,           0.0099978,           0.0099978
                   5,             0.02515,            0.012125,            0.035755,             0.84611,             0.80659,              0.8913,              0.6922,            0.013247,           0.0034978,            0.016857,           0.0099961,           0.0099961,           0.0099961
