               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.020223,            0.010163,            0.017866,             0.90816,             0.91419,             0.94398,             0.79485,            0.010111,            0.002875,            0.021774,           0.0097011,           0.0097011,           0.0097011
                  37,            0.020113,            0.010114,            0.017254,               0.917,             0.90914,             0.94492,             0.79638,            0.010099,           0.0028734,             0.02183,            0.009684,            0.009684,            0.009684
                  38,            0.020065,             0.01022,            0.017672,              0.9137,             0.91127,             0.94597,             0.79739,            0.010081,           0.0028636,            0.021712,           0.0096664,           0.0096664,           0.0096664
                  39,            0.019918,            0.010081,            0.017129,             0.91271,             0.91038,             0.94557,             0.79754,            0.010076,           0.0028572,            0.022061,           0.0096484,           0.0096484,           0.0096484
                  40,            0.019831,            0.010071,            0.017122,             0.91396,             0.90896,             0.94613,             0.79886,            0.010066,           0.0028532,            0.022054,           0.0096299,           0.0096299,           0.0096299
                  41,            0.019831,             0.01002,            0.016716,             0.91236,             0.91126,             0.94666,             0.79928,            0.010057,           0.0028542,            0.022125,            0.009611,            0.009611,            0.009611
                  42,            0.019807,            0.010017,            0.016656,             0.90998,             0.91137,             0.94545,             0.79923,             0.01004,           0.0028508,            0.022293,           0.0095916,           0.0095916,           0.0095916
                  43,            0.019683,           0.0099397,            0.016251,             0.91844,             0.90533,             0.94558,             0.80021,            0.010021,           0.0028469,            0.022315,           0.0095717,           0.0095717,           0.0095717
                  44,            0.019626,           0.0099899,             0.01618,             0.91751,             0.90578,             0.94626,             0.80095,            0.010006,           0.0028447,            0.022314,           0.0095514,           0.0095514,           0.0095514
                  45,            0.019577,           0.0098991,             0.01643,             0.91087,             0.90984,             0.94657,              0.8018,           0.0099914,            0.002842,            0.022213,           0.0095307,           0.0095307,           0.0095307
                  46,            0.019647,           0.0098506,            0.015913,             0.91246,             0.90729,             0.94699,             0.80284,             0.00997,           0.0028375,            0.022212,           0.0095095,           0.0095095,           0.0095095
                  47,            0.019681,            0.009898,            0.016048,              0.9101,             0.90843,             0.94734,             0.80313,           0.0099527,           0.0028351,            0.022208,           0.0094879,           0.0094879,           0.0094879
                  48,            0.019455,           0.0098448,            0.015938,             0.90506,             0.91095,             0.94739,             0.80339,           0.0099344,           0.0028328,            0.022186,           0.0094659,           0.0094659,           0.0094659
                  49,            0.019496,           0.0098578,            0.015739,             0.91992,             0.90169,              0.9475,             0.80414,           0.0099129,           0.0028294,            0.022223,           0.0094434,           0.0094434,           0.0094434
                  50,            0.019486,           0.0097475,            0.015388,             0.91997,             0.90116,             0.94762,              0.8048,           0.0098966,           0.0028237,             0.02223,           0.0094205,           0.0094205,           0.0094205
