               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02939,             0.01286,            0.054758,             0.30573,             0.77648,             0.59645,             0.37729,            0.020648,           0.0040232,            0.031091,           0.0083437,           0.0083437,           0.0083437
                  37,             0.02877,            0.012785,            0.053152,             0.39222,             0.72342,             0.62857,              0.4351,            0.017818,           0.0039131,            0.030556,           0.0082545,           0.0082545,           0.0082545
                  38,            0.028424,            0.012454,            0.051414,             0.52176,             0.60259,             0.66223,             0.47623,            0.016125,           0.0036467,            0.028818,           0.0081634,           0.0081634,           0.0081634
                  39,            0.028853,            0.012858,            0.052695,             0.50558,             0.65022,             0.63959,             0.44867,            0.017954,           0.0037525,            0.027754,           0.0080707,           0.0080707,           0.0080707
                  40,            0.027854,            0.012544,            0.051223,              0.3897,             0.72125,             0.66705,             0.47074,             0.01675,           0.0038372,            0.026857,           0.0079763,           0.0079763,           0.0079763
                  41,            0.028419,            0.012874,            0.052175,             0.52078,             0.64575,             0.69139,             0.51129,            0.015381,           0.0036397,            0.026314,           0.0078803,           0.0078803,           0.0078803
                  42,            0.028726,            0.013059,             0.04992,             0.38663,              0.7265,             0.60206,             0.41302,            0.019286,           0.0039187,            0.026996,           0.0077828,           0.0077828,           0.0077828
                  43,            0.028506,            0.012379,            0.051206,             0.66925,              0.6321,             0.66993,             0.48331,            0.017032,           0.0038778,            0.025875,           0.0076839,           0.0076839,           0.0076839
                  44,            0.028675,            0.012691,            0.049688,             0.53212,             0.69472,             0.68499,             0.49534,            0.015676,           0.0038253,            0.025188,           0.0075835,           0.0075835,           0.0075835
                  45,             0.02817,            0.012307,            0.048567,             0.66828,             0.60291,             0.69584,             0.49528,             0.01653,           0.0038141,             0.02606,           0.0074818,           0.0074818,           0.0074818
                  46,            0.027656,            0.012448,            0.049995,             0.42047,             0.77278,              0.7014,             0.49242,            0.016607,           0.0035212,            0.025306,           0.0073788,           0.0073788,           0.0073788
                  47,            0.028456,            0.012375,            0.049226,             0.47126,              0.7229,             0.71739,             0.50915,            0.017127,           0.0037324,            0.024244,           0.0072746,           0.0072746,           0.0072746
                  48,             0.02805,             0.01237,            0.049199,             0.49098,             0.74137,             0.73493,             0.50801,            0.017391,           0.0036411,            0.023818,           0.0071693,           0.0071693,           0.0071693
                  49,            0.027308,            0.012275,            0.048541,             0.65878,             0.70484,             0.76927,             0.53803,             0.01777,           0.0037458,            0.021872,           0.0070629,           0.0070629,           0.0070629
                  50,            0.028094,            0.012291,            0.046361,             0.58295,             0.68938,             0.76011,             0.54839,            0.016298,           0.0035812,             0.02345,           0.0069555,           0.0069555,           0.0069555
